,0,1,2,3
993,1659,,,
994,12901,,,
995,21770,,,
996,43133,,,
997,4934,,,
998,15307,,,
999,20345,,,
1000,14928,,,
1001,48421,,,
1002,4370,,,
1003,22803,,,
1004,3300,,,
1005,41382,,,
1006,46886,56514.0,,
1007,10785,,,
1008,28200,,,
1009,58333,,,
1010,24814,,,
1011,46219,,,
1012,2149,,,
1013,318,,,
1014,15382,,,
1015,33324,,,
1016,39078,,,
1017,1970,,,
1018,5698,,,
1019,34750,,,
1020,10486,,,
1021,91,,,
1022,52246,,,
1023,48497,,,
1024,4205,,,
1025,23368,23540.0,,
1026,5229,,,
1027,24809,,,
1028,32634,,,
1029,198,,,
1030,23852,,,
1031,23941,,,
1032,191,,,
1033,4363,,,
1034,1194,,,
1035,5312,,,
1036,13274,,,
1037,33126,,,
1038,50170,,,
1039,1596,,,
1040,19180,,,
1041,2379,,,
1042,16925,,,
1043,15804,,,
1044,59712,,,
1045,1694,,,
1046,246,,,
1047,11896,,,
1048,16464,,,
1049,7579,,,
1050,93,,,
1051,47271,,,
1052,12740,,,
1053,94,,,
1054,13857,,,
1055,95,,,
1056,36941,,,
1057,1374,,,
1058,23880,,,
1059,9675,,,
1060,33228,,,
1061,5740,,,
1062,28981,,,
1063,41986,,,
1064,2266,,,
1065,26210,,,
1066,826,,,
1067,14690,,,
1068,18870,,,
1069,143,,,
1070,43661,,,
1071,23842,,,
1072,169,,,
1073,6479,,,
1074,17481,,,
1075,20521,,,
1076,5852,,,
1077,22274,,,
1078,53660,,,
1079,1779,,,
1080,45841,,,
1081,39350,,,
1082,26596,,,
1083,40347,,,
1084,2781,,,
1085,53089,,,
1086,39827,40000.0,,
1087,1942,,,
1088,17709,,,
1089,15573,,,
1090,11091,,,
1091,717,,,
1092,29044,,,
1093,10117,,,
1094,12108,,,
1095,16668,,,
1096,59854,,,
1097,50725,,,
1098,2270,,,
1099,24963,,,
1100,24752,,,
1101,53222,,,
1102,13897,,,
1103,99,,,
1104,59301,,,
1105,10675,,,
1106,2787,,,
1107,2430,,,
1108,5000,,,
1109,16688,,,
1110,58998,,,
1111,18754,,,
1112,6524,,,
1113,5040,,,
1114,8188,,,
1115,13948,,,
1116,100,,,
1117,3302,,,
1118,36867,,,
1119,350,,,
1120,31494,,,
1121,37815,,,
1122,13010,,,
1123,10426,,,
1124,12445,,,
1125,1582,,,
1126,21935,,,
1127,16382,,,
1128,431,,,
1129,1196,,,
1130,4316,,,
1131,57628,,,
1132,15995,,,
1133,3456,,,
1134,775,,,
1135,40578,,,
1136,37246,,,
1137,2069,,,
1138,53742,,,
1139,29105,,,
1140,101,,,
1141,26883,,,
1142,4610,,,
1143,288,334.0,,
1144,22214,,,
1145,828,,,
1146,16633,,,
1147,31240,,,
1148,7691,,,
1149,19629,,,
1150,42759,,,
1151,38865,,,
1152,17045,,,
1153,31395,,,
1154,5399,,,
1155,15388,,,
1156,1691,,,
1157,9508,,,
1158,49229,,,
1159,104,,,
1160,27347,,,
1161,2181,,,
1162,24226,,,
1163,24106,,,
1164,598,,,
1165,19598,,,
1166,6501,,,
1167,2431,,,
1168,28664,,,
1169,14215,,,
1170,462,,,
1171,51768,,,
1172,17788,,,
1173,41238,,,
1174,13257,,,
1175,33443,,,
1176,10357,,,
1177,11352,,,
1178,54099,,,
1179,4599,,,
1180,19857,,,
1181,26351,,,
1182,41841,,,
1183,15006,,,
1184,1449,,,
1185,1206,,,
1186,21893,,,
1187,7190,,,
1188,1673,,,
1189,50723,,,
1190,18389,,,
1191,10539,,,
1192,29941,30126.0,,
1193,11192,,,
1194,7109,,,
1195,747,,,
1196,6681,,,
1197,479,,,
1198,21699,,,
1199,23293,,,
1200,27122,,,
1201,2587,,,
1202,45564,,,
1203,5482,,,
1204,54516,,,
1205,55414,,,
1206,40778,,,
1207,7062,,,
1208,23046,,,
1209,8930,,,
1210,1481,,,
1211,46232,,,
1212,35225,,,
1213,180,,,
1214,9266,,,
1215,3544,,,
1216,8501,,,
1217,513,,,
1218,17538,,,
1219,54408,,,
1220,34318,34496.0,,
1221,55673,,,
1222,44516,,,
1223,39508,,,
1224,16190,,,
1225,2546,,,
1226,993,,,
1227,47873,,,
1228,17633,,,
1229,13813,,,
1230,56926,,,
1231,54982,,,
1232,3323,,,
1233,4626,,,
1234,1592,,,
1235,20023,,,
1236,752,,,
1237,44959,,,
1238,10951,,,
1239,696,,,
1240,47816,56782.0,,
1241,1740,,,
1242,19502,,,
1243,48961,48982.0,,
1244,47377,,,
1245,451,,,
1246,1088,,,
1247,4679,,,
1248,30217,,,
1249,57859,,,
1250,15600,,,
1251,24272,,,
1252,57652,,,
1253,8205,,,
1254,10288,,,
1255,115,,,
1256,39472,,,
1257,2605,,,
1258,1278,,,
1259,674,,,
1260,6018,,,
1261,48244,48245.0,,
1262,4326,,,
1263,11029,,,
1264,26755,,,
1265,1415,,,
1266,56188,,,
1267,116,,,
1268,13739,,,
1269,32709,,,
1270,3376,,,
1271,5832,,,
1272,55757,,,
1273,15799,,,
1274,1238,,,
1275,51307,,,
1276,20599,,,
1277,28338,,,
1278,33586,,,
1279,11244,,,
1280,7921,,,
1281,28030,,,
1282,950,,,
1283,18173,,,
1284,32894,,,
1285,10332,,,
1286,3580,,,
1287,49709,,,
1288,12416,,,
1289,21289,,,
1290,118,,,
1291,119,,,
1292,26414,,,
1293,16367,,,
1294,22686,,,
1295,38282,,,
1296,31148,,,
1297,16078,,,
1298,34853,,,
1299,3521,,,
1300,24303,,,
1301,11037,,,
1302,278,,,
1303,30171,,,
1304,12246,,,
1305,182,,,
1306,22672,22673.0,,
1307,528,,,
1308,25266,,,
1309,5981,,,
1310,42777,,,
1311,394,,,
1312,2109,,,
1313,58865,,,
1314,34990,,,
1315,14281,,,
1316,4180,,,
1317,36390,,,
1318,11884,,,
1319,3791,,,
1320,24566,,,
1321,6436,,,
1322,120,,,
1323,36509,,,
1324,10940,,,
1325,36510,,,
1326,2760,,,
1327,122,,,
1328,24387,,,
1329,56765,,,
1330,46534,,,
1331,11563,,,
1332,123,,,
1333,4132,,,
1334,34479,,,
1335,12100,,,
1336,24367,,,
1337,1969,,,
1338,27373,,,
1339,6286,,,
1340,27256,,,
1341,31112,,,
1342,7389,,,
1343,13027,,,
1344,42724,,,
1345,2401,,,
1346,10428,,,
1347,51237,,,
1348,124,,,
1349,20482,,,
1350,15659,,,
1351,26408,,,
1352,27720,,,
1353,58606,,,
1354,125,,,
1355,43899,,,
1356,24425,,,
1357,47434,,,
1358,8447,,,
1359,243,,,
1360,12431,,,
1361,46856,,,
1362,36469,,,
1363,1895,,,
1364,30722,,,
1365,4303,,,
1366,58309,,,
1367,28514,,,
1368,126,,,
1369,46703,,,
1370,34894,,,
1371,701,,,
1372,1068,,,
1373,193,,,
1374,6160,,,
1375,17153,,,
1376,22099,,,
1377,3350,50318.0,,
1378,13305,,,
1379,162,,,
1380,5590,,,
1381,12521,,,
1382,534,,,
1383,19806,,,
1384,8061,,,
1385,23857,,,
1386,669,,,
1387,14098,,,
1388,20669,,,
1389,22254,,,
1390,273,,,
1391,6028,,,
1392,31706,,,
1393,60023,,,
1394,49843,,,
1395,46547,56401.0,,
1396,16906,,,
1397,128,,,
1398,24124,53194.0,,
1399,30999,,,
1400,37239,,,
1401,5431,,,
1402,21459,,,
1403,577,,,
1404,4380,,,
1405,4947,,,
1406,21955,,,
1407,31318,54178.0,,
1408,10198,,,
1409,51206,,,
1410,39964,,,
1411,194,,,
1412,16281,,,
1413,504,,,
1414,26570,,,
1415,33146,,,
1416,8460,,,
1417,769,,,
1418,23205,23206.0,,
1419,22081,,,
1420,380,,,
1421,17812,,,
1422,30603,,,
1423,15637,,,
1424,196,,,
1425,59072,,,
1426,4022,,,
1427,16828,,,
1428,3466,,,
1429,8828,,,
1430,2750,,,
1431,17723,,,
1432,38429,,,
1433,562,,,
1434,44190,59094.0,,
1435,6844,,,
1436,877,,,
1437,22727,,,
1438,36948,,,
1439,16710,,,
1440,8553,,,
1441,36804,,,
1442,13084,,,
1443,18882,,,
1444,443,,,
1445,35386,,,
1446,5827,,,
1447,16130,,,
1448,20808,,,
1449,59552,,,
